"age","workclass","education_num","marital_status","occupation","race","sex","capital_gain","capital_loss","hours_per_week","native_country","income"
18,"1",9,"2","11","4","0",0,0,30,"0","0"
52,"1",13,"0","7","4","0",0,0,40,"0","0"
46,"1",9,"0","7","4","1",0,0,40,"0","0"
59,"1",9,"0","11","4","0",0,0,48,"0","0"
44,"1",9,"1","2","4","1",14344,0,40,"0","1"
53,"1",9,"1","11","4","1",0,0,35,"0","0"
49,"3",9,"0","10","4","0",0,0,40,"0","1"
33,"1",14,"0","9","4","0",0,0,50,"0","0"
30,"1",5,"2","11","4","0",0,0,40,"0","0"
43,"0",16,"2","9","4","1",0,0,50,"0","1"
57,"1",11,"0","9","4","0",0,0,40,"0","0"
37,"1",10,"1","2","4","1",0,0,40,"0","0"
28,"1",10,"1","6","2","1",0,0,25,"0","0"
30,"1",9,"0","11","1","1",0,1573,35,"0","0"
34,"3",13,"0","10","4","0",0,0,40,"0","1"
29,"3",10,"2","5","4","0",0,0,50,"0","0"
48,"2",16,"0","9","4","0",0,1902,60,"0","1"
37,"1",10,"0","11","4","0",0,0,48,"0","1"
48,"1",12,"1","3","4","1",0,0,40,"3","0"
32,"0",9,"2","7","2","0",0,0,40,"0","0"
76,"1",14,"0","3","4","0",0,0,40,"0","1"
44,"1",13,"0","3","4","0",15024,0,60,"0","1"
47,"2",14,"2","9","4","1",0,0,50,"0","0"
20,"1",10,"2","12","4","1",0,0,40,"0","0"
29,"1",9,"2","2","4","0",0,0,40,"0","0"
32,"2",9,"0","2","4","0",7688,0,40,"0","1"
17,"1",6,"2","9","4","1",34095,0,32,"0","0"
30,"1",7,"2","5","4","0",0,0,40,"0","0"
31,"3",9,"2","0","4","1",0,0,40,"0","0"
42,"1",9,"0","5","4","0",0,0,40,"0","0"
24,"1",13,"2","11","4","0",0,0,40,"0","0"
38,"1",15,"0","9","4","0",0,0,40,"0","1"
56,"2",9,"0","7","4","0",0,1887,50,"0","1"
28,"1",10,"0","11","4","1",4064,0,25,"0","0"
36,"1",9,"2","6","4","1",0,0,40,"0","0"
53,"1",5,"0","5","4","0",0,0,50,"0","0"
56,"2",10,"0","11","4","0",0,0,50,"0","0"
49,"3",11,"0","2","2","0",0,0,40,"0","1"
55,"1",10,"0","11","4","0",0,0,56,"0","0"
22,"1",9,"2","2","4","0",0,0,41,"0","0"
21,"1",10,"2","7","4","1",0,0,40,"0","0"
40,"1",13,"0","3","4","0",0,0,60,"0","0"
30,"1",13,"2","3","2","0",0,0,40,"3","0"
29,"3",13,"0","9","4","0",0,0,50,"0","1"
19,"1",10,"2","7","2","0",0,0,35,"0","0"
47,"1",13,"0","3","4","1",0,0,40,"0","1"
20,"1",10,"2","0","4","1",0,1719,28,"0","0"
31,"1",12,"0","0","4","0",0,0,40,"0","1"
35,"1",9,"0","9","4","0",0,0,40,"0","0"
39,"1",10,"1","2","4","0",0,0,40,"0","0"
28,"1",12,"2","11","4","1",0,0,60,"0","0"
24,"1",9,"2","7","4","1",0,1762,40,"0","0"
38,"2",9,"0","2","4","0",4386,0,35,"0","0"
37,"1",13,"0","11","4","0",0,0,50,"0","0"
46,"1",12,"1","12","2","1",0,0,36,"0","0"
38,"0",14,"0","9","4","0",0,0,40,"1","1"
43,"2",9,"0","2","4","0",0,0,60,"0","0"
27,"1",11,"0","0","4","1",0,0,35,"0","0"
20,"1",10,"2","11","4","0",0,0,20,"0","0"
49,"1",10,"0","2","1","0",0,0,40,"0","1"
61,"2",9,"0","2","4","0",0,0,40,"0","0"
27,"1",10,"2","11","4","1",0,0,40,"0","0"
19,"1",10,"2","7","4","0",0,0,30,"0","0"
45,"1",11,"2","9","4","1",0,1564,40,"0","1"
70,"1",10,"2","12","4","0",0,0,40,"0","0"
31,"1",9,"2","13","2","1",0,0,30,"0","0"
22,"1",10,"0","7","4","0",0,0,24,"0","0"
36,"1",9,"1","7","4","1",0,0,24,"0","0"
64,"1",7,"0","2","4","0",0,2179,40,"0","0"
43,"1",10,"1","9","4","1",0,0,40,"0","0"
47,"3",10,"1","0","4","1",0,0,38,"0","0"
34,"1",9,"2","0","4","1",0,0,40,"0","0"
33,"1",13,"2","3","1","1",0,0,40,"1","0"
21,"1",9,"2","2","4","0",0,0,35,"0","0"
52,"1",9,"1","9","4","0",0,0,45,"0","1"
48,"1",9,"0","2","4","0",0,0,46,"0","0"
23,"1",13,"2","5","4","0",0,0,40,"0","0"
71,"2",10,"1","11","2","0",0,1816,2,"0","0"
29,"1",9,"1","2","4","0",0,0,60,"0","0"
42,"1",13,"1","7","2","0",0,0,50,"0","0"
68,"1",2,"1","9","4","1",0,0,20,"0","0"
25,"1",9,"2","7","4","1",0,0,40,"0","0"
44,"2",14,"1","3","1","1",0,0,40,"0","0"
28,"1",9,"2","3","1","1",0,0,40,"3","0"
45,"2",14,"0","11","4","0",0,0,40,"0","1"
36,"1",10,"1","7","4","1",0,0,40,"0","0"
39,"0",12,"2","3","4","0",0,0,42,"0","0"
46,"3",14,"1","10","4","0",0,0,40,"0","0"
18,"1",7,"2","5","4","0",0,0,16,"0","0"
66,"3",11,"1","9","4","1",0,0,20,"0","0"
27,"1",9,"2","7","4","0",0,1980,40,"0","0"
28,"3",9,"0","10","4","0",0,0,40,"0","0"
51,"1",10,"0","11","4","0",0,1977,40,"0","1"
27,"1",13,"2","2","4","0",0,0,50,"0","0"
28,"3",13,"0","9","4","0",0,0,40,"0","1"
27,"1",9,"0","11","4","1",0,0,25,"0","0"
21,"1",9,"2","2","2","0",0,0,40,"0","0"
34,"1",9,"2","5","2","0",0,0,40,"0","0"
18,"1",9,"2","7","4","0",0,0,12,"0","0"
33,"1",13,"0","9","4","0",0,0,65,"0","0"
44,"3",10,"0","3","2","0",0,0,38,"0","1"
43,"1",10,"1","0","4","1",0,0,40,"0","0"
30,"1",10,"2","2","2","0",0,0,45,"0","0"
40,"1",4,"0","6","4","0",0,0,40,"0","1"
37,"0",10,"0","0","4","0",0,0,42,"0","1"
34,"1",9,"0","0","2","0",0,0,40,"0","0"
41,"2",13,"1","3","4","1",0,0,40,"0","0"
53,"1",13,"1","9","4","1",0,0,50,"0","0"
31,"1",14,"0","9","4","1",0,0,50,"0","0"
58,"3",16,"0","9","4","0",0,0,1,"0","1"
38,"1",10,"1","6","2","1",0,0,28,"0","0"
24,"1",10,"0","6","4","0",0,0,40,"0","0"
41,"3",13,"0","2","2","0",0,0,40,"0","0"
47,"1",10,"0","12","4","0",0,0,45,"0","0"
41,"0",13,"0","12","4","0",0,0,24,"0","0"
23,"1",3,"0","13","4","0",0,0,40,"0","0"
36,"1",10,"1","2","4","0",0,0,40,"0","0"
40,"0",14,"2","3","4","1",14084,0,55,"0","1"
35,"1",14,"0","9","4","0",7298,0,40,"0","1"
24,"2",9,"2","11","4","0",0,0,40,"0","0"
26,"1",14,"2","9","4","1",0,1876,40,"0","0"
19,"1",9,"2","9","4","0",0,0,40,"3","0"
51,"1",13,"0","3","4","0",0,0,50,"0","1"
42,"3",10,"2","9","4","1",0,1340,40,"0","0"
37,"3",9,"1","0","4","1",0,0,35,"0","0"
18,"1",7,"2","11","4","1",0,0,40,"0","0"
36,"1",13,"0","7","2","0",7298,0,36,"0","1"
35,"1",9,"1","2","4","0",0,0,60,"0","0"
58,"2",9,"0","11","4","1",15024,0,35,"0","1"
17,"1",7,"2","11","4","1",0,0,12,"0","0"
44,"3",9,"0","13","2","0",0,0,40,"0","0"
37,"1",9,"0","2","4","0",0,0,40,"0","1"
35,"1",10,"2","11","0","1",0,0,40,"0","0"
60,"1",9,"0","2","1","0",0,0,40,"0","0"
54,"2",4,"0","6","4","0",0,0,40,"0","1"
37,"1",13,"2","3","2","0",0,0,60,"0","1"
50,"1",12,"1","11","4","1",0,0,40,"0","0"
38,"1",13,"0","11","4","0",0,0,50,"3","0"
45,"1",13,"0","9","4","0",0,0,55,"0","0"
25,"1",6,"2","2","4","0",0,0,40,"0","0"
31,"1",10,"0","5","4","0",0,0,40,"0","0"
64,"1",2,"1","9","4","0",0,0,40,"0","0"
90,"1",9,"2","7","2","0",0,2206,40,"0","0"
54,"1",9,"0","0","2","0",0,0,20,"0","0"
53,"3",1,"2","6","4","1",0,0,35,"0","0"
18,"1",9,"2","11","4","1",0,0,40,"0","0"
60,"1",6,"1","9","0","1",0,0,10,"0","0"
66,"2",9,"0","4","4","0",1409,0,50,"0","0"
75,"1",11,"1","0","4","1",0,0,20,"2","0"
65,"1",9,"1","0","4","1",0,0,40,"0","0"
35,"1",7,"1","13","2","0",3674,0,40,"0","0"
41,"1",9,"1","11","2","1",0,0,38,"0","0"
25,"1",10,"2","0","4","0",0,0,42,"0","0"
33,"1",10,"1","2","3","1",0,0,40,"0","0"
28,"1",15,"2","9","4","0",0,0,55,"0","1"
59,"3",9,"0","7","4","0",0,0,40,"0","0"
40,"3",10,"2","0","4","1",0,0,38,"0","0"
41,"1",13,"0","3","4","0",0,0,50,"1","1"
38,"3",14,"0","3","4","0",0,0,70,"0","1"
23,"1",9,"2","13","4","0",0,0,40,"0","0"
40,"1",13,"0","9","4","0",0,0,40,"0","1"
41,"2",9,"0","7","4","1",0,0,20,"0","0"
24,"3",12,"0","10","4","0",0,0,50,"0","0"
20,"1",10,"2","9","4","0",0,0,20,"0","0"
38,"1",10,"1","2","4","0",0,1741,40,"0","0"
56,"1",9,"0","0","4","0",0,0,35,"0","0"
58,"1",9,"0","0","4","0",0,0,45,"0","1"
32,"1",9,"2","7","4","1",0,0,34,"0","0"
40,"1",12,"0","12","4","0",0,1977,60,"0","1"
45,"1",9,"0","0","4","0",0,0,40,"0","0"
41,"1",15,"0","9","4","1",0,0,40,"0","1"
42,"1",13,"0","0","2","1",0,0,40,"0","0"
59,"3",6,"1","7","2","1",0,0,30,"0","0"
19,"3",10,"2","0","4","0",0,0,40,"0","0"
58,"1",10,"2","13","4","0",0,0,20,"0","0"
42,"2",9,"0","4","1","0",0,0,40,"1","1"
20,"1",9,"2","7","4","1",0,0,40,"0","0"
32,"1",9,"1","7","4","1",0,0,30,"0","0"
45,"1",11,"1","3","4","1",0,0,45,"0","0"
50,"1",4,"1","2","4","0",0,0,40,"0","0"
36,"1",13,"1","9","4","1",0,0,40,"0","0"
45,"1",9,"0","11","4","0",0,0,60,"0","0"
17,"1",7,"2","7","4","0",0,0,12,"0","0"
59,"1",10,"0","11","4","0",4064,0,40,"0","0"
26,"1",7,"0","2","4","0",0,0,40,"0","0"
37,"2",10,"0","3","1","0",0,0,75,"1","1"
19,"1",10,"2","9","4","0",0,0,24,"0","0"
64,"1",9,"0","3","4","0",0,0,40,"0","1"
33,"1",13,"2","9","4","1",0,0,45,"0","0"
33,"1",9,"0","2","4","1",0,0,40,"0","1"
61,"1",9,"0","3","4","0",0,0,40,"0","1"
17,"1",5,"2","7","4","0",1055,0,24,"0","0"
50,"2",14,"0","4","4","0",2407,0,98,"0","0"
27,"3",14,"2","9","4","0",0,0,35,"0","0"
30,"1",9,"1","9","4","1",0,0,40,"0","0"
43,"1",9,"0","5","2","0",0,0,40,"0","0"
44,"1",10,"0","2","4","0",7298,0,40,"0","1"
35,"1",10,"2","3","4","1",0,0,40,"0","0"
25,"1",10,"2","12","4","1",0,0,40,"0","0"
24,"1",10,"0","6","4","1",7298,0,48,"0","1"
22,"1",13,"2","9","4","1",0,0,15,"3","0"
42,"3",10,"0","2","4","0",5178,0,40,"0","1"
34,"1",12,"1","11","2","1",0,0,45,"0","0"
60,"1",13,"1","9","4","1",0,0,42,"0","0"
21,"1",9,"2","5","4","0",0,0,40,"0","0"
57,"0",14,"0","11","4","0",15024,0,40,"0","1"
41,"1",15,"0","9","4","0",0,0,60,"0","1"
50,"1",10,"1","7","4","0",0,0,45,"0","0"
25,"1",13,"2","3","4","1",0,0,40,"0","0"
50,"1",4,"0","2","4","0",0,0,40,"2","0"
36,"1",13,"0","9","4","0",0,0,45,"0","0"
31,"1",9,"1","9","4","1",0,0,40,"0","0"
29,"3",13,"2","10","4","0",0,0,56,"0","0"
21,"1",10,"2","11","4","0",0,0,45,"0","0"
27,"1",13,"2","12","2","1",0,0,40,"0","0"
65,"1",9,"0","13","4","0",0,0,16,"0","0"
37,"2",13,"1","11","4","1",0,0,60,"0","0"
39,"1",14,"0","9","1","1",3464,0,40,"0","0"
24,"1",9,"2","2","4","0",0,0,40,"0","0"
38,"1",9,"1","11","4","0",0,0,80,"0","0"
48,"1",13,"0","0","4","0",7688,0,40,"0","1"
21,"1",10,"2","7","1","1",0,0,25,"0","0"
31,"1",9,"0","13","4","0",0,0,45,"0","1"
55,"1",9,"0","11","4","0",4386,0,40,"0","1"
24,"1",10,"0","0","1","1",0,0,40,"1","0"
43,"1",9,"1","0","4","1",0,0,40,"0","0"
26,"1",12,"2","12","4","0",0,0,45,"0","0"
46,"1",12,"2","9","4","1",0,0,33,"0","0"
35,"1",12,"0","0","4","0",0,0,40,"0","1"
41,"2",10,"0","4","4","0",0,0,54,"0","1"
26,"1",13,"2","11","4","0",0,0,40,"0","0"
34,"1",14,"0","3","1","0",7298,0,35,"1","1"
19,"1",10,"2","9","2","1",0,0,25,"0","0"
36,"2",13,"1","9","2","1",0,0,40,"0","1"
22,"1",10,"2","11","4","0",0,0,15,"0","0"
24,"1",10,"2","6","4","0",0,0,40,"0","0"
77,"2",10,"0","11","4","0",0,0,40,"0","0"
22,"1",3,"0","6","4","1",0,0,40,"0","0"
29,"1",10,"2","12","4","1",0,0,40,"0","0"
62,"1",9,"1","7","4","1",0,0,24,"0","0"
39,"2",9,"0","3","4","0",0,0,40,"0","0"
43,"1",10,"0","2","4","0",0,1485,50,"0","0"
35,"1",9,"1","13","4","0",0,0,45,"0","0"
29,"1",7,"2","3","4","1",0,0,40,"0","0"
76,"2",14,"0","2","4","0",0,0,10,"0","0"
63,"2",9,"0","4","4","0",0,0,45,"0","0"
23,"1",11,"2","9","2","1",0,0,15,"0","0"
43,"1",10,"0","9","4","1",0,1887,50,"0","1"
58,"2",9,"0","5","4","0",0,0,40,"0","0"
66,"1",9,"2","13","4","0",2050,0,55,"0","0"
41,"1",10,"2","2","2","0",0,0,45,"0","0"
26,"1",13,"2","0","4","0",0,0,40,"0","0"
47,"1",11,"2","7","4","0",0,0,40,"0","0"
55,"3",6,"0","0","4","0",0,0,40,"0","0"
53,"1",9,"0","13","4","0",0,0,40,"0","0"
17,"1",3,"2","7","4","0",0,0,48,"0","0"
30,"1",9,"2","2","4","0",0,0,40,"0","0"
49,"1",14,"2","9","4","0",0,0,60,"0","0"
19,"1",9,"2","11","2","0",0,0,30,"0","0"
45,"1",9,"0","7","2","0",0,0,40,"0","0"
26,"1",12,"2","11","4","0",0,0,40,"0","0"
38,"1",11,"0","2","4","0",7298,0,40,"0","1"
36,"3",9,"0","10","4","0",7298,0,40,"0","1"
33,"1",9,"2","4","4","0",0,0,20,"0","0"
22,"3",10,"2","10","2","1",0,0,40,"0","0"
43,"2",13,"2","11","4","0",0,0,42,"0","0"
67,"1",7,"0","9","4","0",0,0,8,"0","0"
30,"1",11,"1","9","4","1",0,0,40,"0","0"
56,"1",12,"0","7","4","0",0,0,25,"1","0"
31,"1",13,"2","9","4","0",0,0,25,"0","0"
33,"1",13,"0","3","4","0",0,0,40,"0","1"
26,"1",9,"0","7","4","0",0,0,40,"0","0"
46,"3",7,"0","13","4","0",0,0,30,"0","0"
59,"1",13,"0","9","4","0",0,0,40,"0","1"
38,"0",9,"0","0","4","0",0,0,40,"0","1"
65,"1",7,"1","7","3","0",0,0,40,"0","0"
40,"1",11,"0","12","4","0",0,0,40,"0","1"
42,"1",9,"0","0","4","1",0,0,35,"0","0"
26,"2",5,"0","2","4","0",0,0,40,"3","0"
36,"1",6,"0","7","4","1",0,0,24,"0","0"
62,"1",14,"0","9","4","0",0,0,40,"0","1"
43,"1",13,"0","13","4","0",0,0,45,"0","0"
43,"1",13,"1","3","4","0",0,1564,45,"0","1"
22,"1",9,"0","11","4","0",0,0,55,"0","0"
28,"1",9,"0","2","4","0",0,0,40,"0","0"
56,"2",10,"0","11","4","0",0,0,45,"0","0"
22,"1",12,"2","11","4","1",0,0,15,"0","0"
57,"1",13,"1","3","4","1",0,0,45,"0","1"
39,"1",9,"1","11","4","1",0,0,40,"0","0"
26,"0",10,"2","0","4","1",0,0,15,"0","0"
17,"1",7,"2","7","4","0",0,0,10,"0","0"
40,"3",11,"0","6","4","0",0,0,38,"0","1"
45,"1",9,"0","6","2","0",0,0,40,"0","0"
44,"1",9,"2","2","2","0",0,0,40,"0","0"
20,"3",10,"2","0","4","1",0,0,10,"0","0"
33,"1",9,"0","2","4","1",0,0,40,"0","0"
23,"1",10,"2","11","4","0",0,0,40,"0","0"
46,"2",14,"1","3","4","0",0,0,30,"0","0"
38,"1",9,"0","11","4","0",0,0,50,"0","0"
54,"1",9,"1","13","4","0",0,0,40,"0","0"
46,"1",3,"1","2","4","1",0,2339,45,"0","0"
25,"1",10,"0","2","4","0",0,0,40,"0","0"
46,"1",10,"1","11","4","1",0,0,40,"0","0"
36,"3",10,"0","13","4","1",0,0,40,"0","0"
23,"1",9,"2","7","4","1",0,0,25,"0","0"
29,"1",9,"1","6","4","0",0,0,40,"0","0"
44,"1",10,"0","0","4","1",0,2415,6,"0","1"
19,"1",10,"2","0","4","1",0,0,16,"0","0"
19,"1",9,"2","7","4","1",0,0,40,"0","0"
35,"1",9,"0","7","4","1",0,0,40,"0","1"
46,"2",12,"1","2","4","0",0,0,40,"0","0"
34,"3",13,"0","3","4","0",7688,0,45,"0","1"
34,"1",9,"2","7","4","1",0,0,35,"0","0"
44,"1",10,"0","12","4","0",0,0,40,"0","0"
45,"1",10,"1","5","4","1",0,0,40,"0","0"
20,"1",9,"2","9","4","1",0,0,35,"0","0"
25,"1",13,"0","3","4","0",0,0,55,"0","1"
52,"2",13,"0","3","4","0",0,0,50,"0","1"
20,"1",10,"2","5","4","0",0,0,40,"0","0"
28,"1",10,"2","7","4","1",0,0,40,"0","0"
50,"3",13,"0","10","4","0",0,0,40,"0","1"
34,"1",11,"1","12","4","1",0,0,64,"0","0"
28,"1",4,"0","5","3","0",0,2179,40,"0","0"
41,"1",14,"0","3","4","0",0,1977,65,"0","1"
28,"1",9,"0","0","4","0",0,0,40,"0","0"
46,"2",9,"0","2","4","0",0,0,25,"0","0"
28,"1",10,"0","9","4","1",0,1887,40,"0","1"
32,"1",10,"0","3","4","0",0,0,50,"0","0"
41,"3",10,"1","7","2","1",0,0,24,"0","0"
24,"1",9,"2","5","2","1",0,0,40,"0","0"
33,"1",10,"1","3","4","1",0,0,40,"0","0"
46,"1",16,"0","3","4","0",15024,0,60,"0","1"
31,"3",10,"0","6","4","0",0,0,40,"0","0"
35,"1",8,"1","2","4","0",0,0,50,"0","1"
52,"1",2,"0","6","4","0",0,0,40,"0","0"
30,"1",7,"2","7","4","1",0,0,19,"0","0"
34,"3",7,"1","6","2","0",0,0,40,"0","0"
34,"3",9,"1","13","4","1",0,0,40,"0","0"
20,"1",10,"0","11","4","0",0,0,30,"0","0"
17,"1",7,"2","5","4","0",2176,0,18,"0","0"
32,"3",13,"0","3","4","1",0,0,40,"0","1"
29,"1",9,"1","4","4","0",0,0,40,"0","0"
33,"1",6,"2","2","4","1",0,0,35,"0","0"
25,"1",9,"0","13","4","0",0,0,60,"0","0"
36,"0",14,"2","9","4","0",0,1408,40,"0","0"
23,"1",9,"2","5","4","0",0,0,72,"0","0"
63,"2",9,"0","3","4","0",0,0,40,"0","1"
47,"3",14,"0","9","4","0",0,0,40,"0","0"
80,"1",9,"1","9","4","0",0,0,24,"0","0"
17,"1",7,"2","9","4","0",0,0,40,"0","0"
40,"2",13,"0","9","4","1",2174,0,40,"0","0"
30,"1",12,"0","7","4","1",0,0,25,"0","1"
27,"1",10,"2","2","1","0",0,1980,40,"1","0"
33,"1",14,"0","9","4","0",0,0,50,"0","1"
34,"3",9,"2","4","2","0",594,0,60,"0","0"
34,"3",10,"2","10","4","1",0,0,40,"0","0"
23,"1",10,"0","0","4","0",0,0,40,"0","0"
42,"3",10,"0","0","4","1",0,0,40,"0","0"
29,"1",13,"2","9","4","0",0,0,40,"0","0"
45,"1",9,"1","0","4","1",0,0,28,"0","0"
24,"0",9,"2","1","4","0",0,0,40,"0","0"
44,"1",10,"0","9","4","0",0,0,40,"0","1"
27,"1",5,"2","2","4","0",0,0,40,"0","0"
20,"1",10,"2","11","4","0",0,0,35,"0","0"
44,"1",9,"1","3","2","1",0,0,40,"0","0"
51,"1",9,"0","2","0","0",0,0,40,"0","0"
20,"1",9,"0","6","4","0",0,0,40,"0","0"
17,"1",7,"2","9","4","1",0,0,5,"0","0"
19,"1",9,"2","6","2","1",0,0,40,"0","0"
45,"2",10,"0","2","4","0",0,0,55,"0","1"
60,"1",9,"0","2","4","0",0,0,40,"0","1"
42,"1",12,"0","3","2","0",0,0,40,"0","1"
44,"2",9,"0","11","4","1",0,0,40,"0","1"
40,"1",11,"0","6","1","0",0,0,40,"0","1"
30,"1",9,"0","3","4","1",0,0,40,"0","0"
38,"1",10,"0","13","2","0",0,0,50,"0","0"
23,"1",9,"0","13","4","0",0,0,60,"0","0"
32,"1",10,"0","9","4","0",0,0,40,"0","0"
44,"1",12,"2","4","4","0",0,0,40,"0","0"
54,"3",9,"0","13","2","0",0,0,40,"0","0"
32,"1",13,"0","9","4","0",0,0,50,"0","0"
50,"1",2,"0","2","4","0",0,0,40,"0","0"
24,"1",13,"2","12","4","1",0,0,20,"0","0"
37,"1",9,"0","0","4","1",0,0,60,"0","0"
52,"1",9,"1","13","4","0",0,0,40,"0","0"
38,"1",10,"0","13","4","0",0,0,40,"0","0"
49,"1",14,"0","3","4","0",0,1977,45,"0","1"
30,"1",13,"0","12","4","1",0,0,16,"0","1"
60,"1",10,"2","9","4","0",0,0,40,"0","1"
22,"1",10,"2","9","4","0",0,0,40,"0","0"
35,"1",9,"2","2","4","0",0,0,40,"0","0"
30,"1",9,"2","13","4","0",0,0,60,"0","0"
67,"1",11,"1","7","4","1",0,0,24,"0","0"
46,"1",13,"2","2","4","1",0,0,40,"0","0"
17,"1",5,"2","7","4","0",0,0,6,"0","0"
22,"1",10,"2","5","4","0",0,0,30,"0","0"
27,"1",6,"2","7","4","0",0,0,40,"0","0"
23,"1",9,"2","7","4","1",0,0,35,"0","0"
33,"1",12,"0","2","4","0",0,0,45,"3","0"
43,"2",10,"0","2","4","0",0,0,20,"0","0"
28,"3",13,"2","9","4","0",0,0,20,"0","0"
41,"1",9,"0","2","4","1",0,0,40,"0","0"
52,"1",8,"2","9","2","0",594,0,40,"0","0"
25,"1",10,"0","0","2","1",0,0,20,"0","0"
63,"1",2,"0","9","4","0",0,0,35,"0","0"
59,"3",9,"0","13","4","0",0,0,45,"0","0"
45,"3",13,"1","9","4","1",0,0,40,"0","0"
38,"1",13,"0","11","4","0",15024,0,60,"0","1"
40,"1",9,"2","7","4","1",0,0,35,"0","0"
46,"0",9,"1","0","4","0",0,0,40,"0","0"
35,"1",12,"2","3","4","1",0,0,60,"0","0"
34,"1",9,"1","9","4","1",0,0,25,"0","0"
33,"1",13,"2","2","4","0",0,0,20,"0","0"
41,"1",9,"1","0","4","1",0,0,36,"0","0"
